ID,Incident Date and Time,Incident Type,Street,City,State,Zip,Latitude,Longitude
"744,621,176",2016 Jan 08 05:00:00 PM,LARCENY-THEFT,200 Block THE PRESERVE DR,ATHENS,GA,30606.0,33.9451974,-83.4479292
"744,621,179",2016 Jan 08 08:00:00 PM,ALL OTHER OFFENSES,100 Block STRICKLAND AVE,ATHENS,GA,30601.0,33.9680645,-83.3732236
"744,620,612",2016 Jan 09 08:00:00 PM,LARCENY-THEFT,300 Block BARNETT SHOALS RD,ATHENS,GA,30605.0,33.9433673,-83.3533174
"744,620,926",2016 Jan 12 07:15:00 PM,LARCENY-THEFT,900 Block E BROAD ST,ATHENS,GA,30601.0,33.9586187,-83.368422
"744,620,967",2016 Jan 12 08:00:00 PM,LARCENY-THEFT,COLLEGE AVE & E HANCOCK AVE,ATHENS,GA,30601.0,33.9601847,-83.3761454
"744,620,969",2016 Jan 12 01:40:00 PM,LARCENY-THEFT,2200 Block LEXINGTON RD,ATHENS,GA,30605.0,33.94448,-83.339581
"744,620,988",2016 Jan 12 09:00:00 PM,LARCENY-THEFT,200 Block N FINLEY ST,ATHENS,GA,30601.0,33.9574036,-83.383063
"744,620,544",2016 Jan 13 01:37:00 PM,ALL OTHER OFFENSES,100 Block HIGHLAND PARK DR,ATHENS,GA,30605.0,33.9172006,-83.3247881
"744,620,545",2016 Jan 13 02:00:00 PM,ALL OTHER OFFENSES,LEXINGTON RD & WINTERVILLE RD,ATHENS,GA,30605.0,33.9465361,-83.351791
"744,620,610",2016 Jan 13 05:31:00 PM,OTHER ASSAULTS,300 Block N HARRIS ST,ATHENS,GA,30601.0,33.9574656,-83.3877118
"744,620,970",2016 Jan 13 02:30:00 PM,OTHER ASSAULTS,200 Block CHINA ST,ATHENS,GA,30605.0,33.9509077,-83.364407
"744,620,971",2016 Jan 13 11:35:00 AM,DRUG ABUSE VIOLATIONS,100 Block TALLASSEE RD,ATHENS,GA,30606.0,33.965247,-83.4290446
"744,620,972",2016 Jan 13 09:06:00 AM,ALL OTHER OFFENSES,100 Block TRINITY PL,ATHENS,GA,30607.0,33.9767401,-83.4145384
"744,620,974",2016 Jan 13 11:35:00 AM,MOTOR VEHICLE THEFT,100 Block TALLASSEE RD,ATHENS,GA,30606.0,33.965247,-83.4290446
"744,620,981",2016 Jan 13 12:45:00 PM,ALL OTHER OFFENSES,200 Block ROCKSPRINGS CT,ATHENS,GA,30606.0,33.9491748,-83.3922092
"744,620,987",2016 Jan 13 12:37:00 PM,DRUG ABUSE VIOLATIONS,COLLEGE STATION RD & SEGREST CIR,ATHENS,GA,30605.0,33.9220595,-83.3515368
"744,620,990",2016 Jan 13 09:00:00 AM,ALL OTHER OFFENSES,700 Block BARNETT SHOALS RD,ATHENS,GA,30605.0,33.9360478,-83.3507327
"744,620,992",2016 Jan 13 05:45:00 PM,OTHER ASSAULTS,1700 Block E BROAD ST,ATHENS,GA,30601.0,33.9510029,-83.3541196
"744,821,592",2016 Jan 11 03:00:00 PM,FRAUD,1900 Block COMMERCE RD,ATHENS,GA,30607.0,33.9993578,-83.383301
"744,821,579",2016 Jan 12 12:01:00 AM,FRAUD,400 Block EPPS BRIDGE PKWY,ATHENS,GA,30606.0,33.9356325,-83.4363283
"744,821,587",2016 Jan 12 05:00:00 PM,BURGLARY,300 Block BLOOMFIELD ST,ATHENS,GA,30605.0,33.9465842,-83.3854706
"744,821,594",2016 Jan 12 09:00:00 PM,FRAUD,200 Block N FINLEY ST,ATHENS,GA,30601.0,33.9574036,-83.383063
"744,821,310",2016 Jan 13 09:00:00 PM,BURGLARY,400 Block S MILLEDGE AVE,ATHENS,GA,30605.0,33.9503364,-83.3873167
"744,821,577",2016 Jan 13 11:15:00 PM,LARCENY-THEFT,1100 Block PRINCE AVE,ATHENS,GA,30606.0,33.9622345,-83.3955637
"744,620,928",2016 Jan 14 01:40:00 AM,LIQUOR LAWS,E BROAD ST & N JACKSON ST,ATHENS,GA,30602.0,33.9579088,-83.3742834
"744,620,929",2016 Jan 14 01:40:00 AM,DRIVING UNDER THE INFLUENCE,E BROAD ST & N JACKSON ST,ATHENS,GA,30602.0,33.9579088,-83.3742834
"744,620,983",2016 Jan 14 12:34:00 AM,LARCENY-THEFT,700 Block OGLETHORPE AVE,ATHENS,GA,30606.0,33.9628029,-83.4123221
"744,620,984",2016 Jan 14 12:34:00 AM,ALL OTHER OFFENSES,700 Block OGLETHORPE AVE,ATHENS,GA,30606.0,33.9628029,-83.4123221
"744,821,111",2016 Jan 14 03:15:00 AM,AGGRAVATED ASSAULT,400 Block OLD HULL RD,ATHENS,GA,30601.0,33.9779878,-83.3486971
"744,821,113",2016 Jan 14 09:00:00 AM,FRAUD,1000 Block ULTIMATE DR,ATHENS,GA,30606.0,33.9448592,-83.4423135
"744,821,115",2016 Jan 14 08:03:00 PM,DRIVING UNDER THE INFLUENCE,W CLAYTON ST & N HULL ST,ATHENS,GA,30601.0,33.9578514,-83.3785812
"744,821,120",2016 Jan 14 05:50:00 AM,MOTOR VEHICLE THEFT,200 Block WOODY LN,ATHENS,GA,30605.0,33.937008,-83.331858
"744,821,303",2016 Jan 14 04:58:00 PM,ALL OTHER OFFENSES,200 Block ROCKSPRINGS CT,ATHENS,GA,30606.0,33.9491748,-83.3922092
"744,821,306",2016 Jan 14 04:58:00 PM,OTHER ASSAULTS,200 Block ROCKSPRINGS CT,ATHENS,GA,30606.0,33.9491748,-83.3922092
"744,821,309",2016 Jan 14 12:34:00 PM,DRIVING UNDER THE INFLUENCE,INNER LOOP 10 & N PETER ST,ATHENS,GA,30601.0,33.9610118,-83.358008
"744,821,311",2016 Jan 14 03:33:00 PM,LARCENY-THEFT,500 Block RUSTWOOD DR,ATHENS,GA,30606.0,33.9912677,-83.4691489
"744,821,312",2016 Jan 14 03:33:00 PM,OTHER ASSAULTS,500 Block RUSTWOOD DR,ATHENS,GA,30606.0,33.9912677,-83.4691489
"744,821,314",2016 Jan 14 07:20:00 PM,AGGRAVATED ASSAULT,300 Block FAIRVIEW ST,ATHENS,GA,30601.0,33.9573266,-83.3557658
"744,821,405",2016 Jan 14 02:40:00 PM,OTHER ASSAULTS,100 Block PARADISE BLVD,ATHENS,GA,30607.0,33.9789358,-83.3950085
"744,821,406",2016 Jan 14 05:07:00 AM,ALL OTHER OFFENSES,3900 Block ATLANTA HWY,ATHENS,GA,30622.0,33.9419314,-83.4729604
"744,821,409",2016 Jan 14 12:13:00 PM,FORGERY AND COUNTERFEITING,300 Block COLLEGE AVE,ATHENS,GA,30601.0,33.959851,-83.375647
"744,821,413",2016 Jan 14 07:54:00 AM,"STOLEN PROPERTY: BUYING, RECEIVING, POSSESSING",3400 Block ATLANTA HWY,ATHENS,GA,30606.0,33.9403877,-83.4525138
"744,821,414",2016 Jan 14 07:54:00 AM,"STOLEN PROPERTY: BUYING, RECEIVING, POSSESSING",3400 Block ATLANTA HWY,ATHENS,GA,30606.0,33.9403877,-83.4525138
"744,821,415",2016 Jan 14 07:00:00 PM,OTHER ASSAULTS,NELLIE B AVE,ATHENS,GA,33.9557539,-83.3493852,2016 Jan 15 06:39:33 AM
"744,821,416",2016 Jan 14 05:24:00 PM,ALL OTHER OFFENSES,100 Block HICKMAN DR,ATHENS,GA,30601.0,33.9618831,-83.3768116
"744,821,417",2016 Jan 14 05:24:00 PM,ALL OTHER OFFENSES,100 Block HICKMAN DR,ATHENS,GA,30601.0,33.9618831,-83.3768116
"744,821,575",2016 Jan 14 01:54:00 PM,ALL OTHER OFFENSES,900 Block HAWTHORNE AVE,ATHENS,GA,30606.0,33.9657085,-83.4149539
"744,821,576",2016 Jan 14 01:54:00 PM,LARCENY-THEFT,900 Block HAWTHORNE AVE,ATHENS,GA,30606.0,33.9657085,-83.4149539
"744,821,582",2016 Jan 14 05:10:00 PM,ROBBERY,400 Block HAWTHORNE AVE,ATHENS,GA,30606.0,33.955595,-83.411636
"744,821,583",2016 Jan 14 01:30:00 AM,LARCENY-THEFT,1000 Block WINTERVILLE RD,ATHENS,GA,30605.0,33.954015,-83.343543
"744,821,584",2016 Jan 14 12:24:00 PM,ALL OTHER OFFENSES,600 Block FOURTH ST,ATHENS,GA,30601.0,33.9715284,-83.3600317
"744,821,585",2016 Jan 14 01:30:00 AM,DAMAGE TO PROPERTY OFFENSE,1000 Block WINTERVILLE RD,ATHENS,GA,30605.0,33.954015,-83.343543
"744,821,590",2016 Jan 14 08:35:00 AM,LARCENY-THEFT,1000 Block OCONEE ST,ATHENS,GA,30605.0,33.9498804,-83.362737
"744,821,591",2016 Jan 14 08:35:00 AM,LARCENY-THEFT,200 Block GEORGIA DR,ATHENS,GA,30605.0,33.9522762,-83.3655938
"744,821,598",2016 Jan 14 10:12:00 AM,FORGERY AND COUNTERFEITING,200 Block US 29 HWY N,ATHENS,GA,30601.0,33.9823365,-83.3480506
"744,821,603",2016 Jan 14 06:38:00 PM,OTHER ASSAULTS,100 Block MASSEY LN,ATHENS,GA,30601.0,33.993116,-83.3633849
"744,821,608",2016 Jan 14 10:22:00 AM,LARCENY-THEFT,300 Block NORTH AVE,ATHENS,GA,30601.0,33.9760166,-83.3645896
"744,821,611",2016 Jan 14 08:20:00 AM,OTHER ASSAULTS,100 Block MASSEY LN,ATHENS,GA,30601.0,33.993116,-83.3633849
"744,821,612",2016 Jan 14 10:54:00 AM,OTHER ASSAULTS,100 Block HICKMAN DR,ATHENS,GA,30601.0,33.9618831,-83.3768116
"744,821,613",2016 Jan 14 08:20:00 AM,ALL OTHER OFFENSES,100 Block MASSEY LN,ATHENS,GA,30601.0,33.993116,-83.3633849
"744,821,615",2016 Jan 14 06:58:00 PM,DISORDERLY CONDUCT,1200 Block BAXTER ST,ATHENS,GA,30606.0,33.94572,-83.4065621
"744,821,616",2016 Jan 14 06:58:00 PM,"WEAPONS: CARRYING, POSSESSING, ETC.",1200 Block BAXTER ST,ATHENS,GA,30606.0,33.94572,-83.4065621
"744,821,617",2016 Jan 14 06:58:00 PM,DISORDERLY CONDUCT,1200 Block BAXTER ST,ATHENS,GA,30606.0,33.94572,-83.4065621
"744,821,618",2016 Jan 14 07:29:00 PM,ALL OTHER OFFENSES,400 Block NORTH AVE,ATHENS,GA,30601.0,33.9778997,-83.3638116
"744,821,619",2016 Jan 14 07:56:00 PM,ALL OTHER OFFENSES,1300 Block ATHENS RD,ATHENS,GA,30683.0,33.966305,-83.310146
"744,821,620",2016 Jan 14 04:41:00 PM,LARCENY-THEFT,100 Block COOK DR,ATHENS,GA,30601.0,33.9591221,-83.3495817
"744,821,623",2016 Jan 14 08:41:00 PM,ALL OTHER OFFENSES,100 Block HICKMAN DR,ATHENS,GA,30601.0,33.9618831,-83.3768116
"744,821,624",2016 Jan 14 08:41:00 PM,ALL OTHER OFFENSES,100 Block HICKMAN DR,ATHENS,GA,30601.0,33.9618831,-83.3768116
"744,821,625",2016 Jan 14 09:45:00 AM,LARCENY-THEFT,400 Block OLD HULL RD,ATHENS,GA,30601.0,33.9779878,-83.3486971
"743,581,061",1950 Mar 02 10:00:00 PM,LARCENY-THEFT,1500 Block S LUMPKIN ST,ATHENS,GA,30605.0,33.9422097,-83.3846884
"743,920,351",1950 Dec 08 05:00:00 PM,OTHER ASSAULTS,200 Block NORTHCREST DR,ATHENS,GA,30601.0,33.977642,-83.368351
"743,572,691",1960 Feb 20 02:15:00 PM,ALL OTHER OFFENSES,100 Block GIBBONS WAY,ATHENS,GA,30605.0,33.9053162,-83.3444382
"743,480,122",1967 Jun 17 04:00:00 PM,ALL OTHER OFFENSES,1100 Block WINTERVILLE RD,ATHENS,GA,30605.0,33.9549789,-83.3434849
"743,564,603",1973 Jan 01 12:01:00 AM,FRAUD,100 Block EPPS BRIDGE PKWY,ATHENS,GA,30606.0,33.9530505,-83.4067682
