ID,Incident Date and Time,Incident Type,Street,City,State,Zip,Latitude,Longitude
39075,2019-09-18T22:59:00,"9015 Failure To Appear,Arrest on Attachment Order",Central Business District,Pittsburgh,PA,15222,40.44212885,-79.99947653
39079,2019-09-18T20:55:00,"9015 Failure To Appear,Arrest on Attachment Order",Central North Side,Pittsburgh,PA,15212,40.41253154,-79.84279604
39077,2019-09-18T13:55:00,"9015 Failure To Appear,Arrest on Attachment Order",Mount Washington,Pittsburgh,PA,15210,40.41508188,-80.01135958
39078,2019-09-18T10:10:00,"903 Criminal Conspiracy , 2709(a) Harassment , 3922 Theft by Deception , 5178 Home Improvement Fraud",Squirrel Hill North,Pittsburgh,PA,15232,40.44741656,-79.93827161
39076,2019-09-18T00:10:00,"2701 Simple Assault , 2706 Terroristic Threats , 3304 Criminal Mischief , 3502 Burglary , 3701 Robbery , 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",Mount Washington,Pittsburgh,PA,15211,40.42403017,-80.00611191
38930,2019-09-17T15:48:00,"3304 Criminal Mischief , 3743 Accidents Involving Damage to Attended Veh or Property , 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Squirrel Hill North,Pittsburgh,PA,15232,40.44983505,-79.92964957
39019,2019-09-17T13:45:00,"903 Criminal Conspiracy , 13(a)(16) Possession of Controlled Substance , 13(a)(30) Possession w, Intent to Del Controlled Substance",Carrick,Pittsburgh,PA,15227,40.38383203,-79.97889388
39001,2019-09-17T13:10:00,"9015 Failure To Appear,Arrest on Attachment Order",Point Breeze,Pittsburgh,PA,15221,40.44275131,-79.89581085
38993,2019-09-17T12:45:00,"3925 Receiving Stolen Property , 1543 Driving While Operating Privilege is Suspended or Revoked , 3921(a) Theft by Unlawful Taking or Disposition - Movable item",Upper Lawrenceville,Pittsburgh,PA,15201,40.47958932,-79.95327181
39005,2019-09-17T11:33:00,"1301 Registration and Certificate of Title Required , 1504 Classes of Licenses , 1543 Driving While Operating Privilege is Suspended or Revoked , 3323 Stop Signs and Yield Signs , 3736 Reckless Driving , 4914 False Identification to Law Enforcement Authorities",Beltzhoover,Pittsburgh,PA,15210,40.42073909,-80.00007806
38988,2019-09-17T11:30:00,"9015 Failure To Appear,Arrest on Attachment Order",East Allegheny,Pittsburgh,PA,15212,40.45578159,-79.99732251
39008,2019-09-17T10:28:00,"2705 Recklessy Endangering Another Person , 3743 Accidents Involving Damage to Attended Veh or Property",Carrick,Pittsburgh,PA,15210,40.39565905,-79.9885381
