Type Of House,Price,Street,City,State,Zip
House for sale,4900000,1145 Beechwood Blvd,Pittsburgh,PA,15206
House for sale,299500,839 Chalmers Pl,Pittsburgh,PA,15243
House for sale,150000,620 Hartranft St,Pittsburgh,PA,15226
House for sale,149000,3909 Evergreen Rd,Pittsburgh,PA,15214
House for sale,114900,418 Reifert St,Pittsburgh,PA,15210
House for sale,109900,114 Montville St,Pittsburgh,PA,15214
House for sale,329900,409 Austin Ave,Pittsburgh,PA,15243
House for sale,364000,1327 Washington Rd,Mt Lebanon,PA,15228
House for sale,60000,1247 Ingham St,Pittsburgh,PA,15212
House for sale,137500,1812 Pioneer Ave,Pittsburgh,PA,15226
House for sale,2875000,600 Grandview Ave,Mt Washington,PA,15211
House for sale,250000,749 Florida Ave,Pittsburgh,PA,15228
House for sale,229900,776 Southcrest Dr,Pittsburgh,PA,15226
Apartment for sale,45000,1012-1014 High St,Pittsburgh,PA,15212
House for sale,429000,840 Lovingston Dr,Pittsburgh,PA,15216
House for sale,199900,20 Kearns Pl,Pittsburgh,PA,15205
House for sale,250000,521 Avery St,Pittsburgh,PA,15212
House for sale,250000,749 Florida Ave,Mt Lebanon,PA,15228
House for sale,234900,2851 Glenmore Ave,Pittsburgh,PA,15216
House for sale,499999,5931 Hobart St,Pittsburgh,PA,15217
House for sale,220000,691 Moreland Dr,Pittsburgh,PA,15243
House for sale,325000,703 S Braddock Ave,Pittsburgh,PA,15221
House for sale,349900,111 Overlook Dr,Mc Knight,PA,15216
House for sale,519000,6314 Darlington Rd,Pittsburgh,PA,15217
House for sale,495000,5432 Ellsworth Ave,Pittsburgh,PA,15232
House for sale,929000,4752 Bayard St,Pittsburgh,PA,15213
House for sale,35000,3253 Ashlyn St,Pittsburgh,PA,15204
House for sale,1025000,91 Woodland Dr,Pittsburgh,PA,15228
House for sale,749900,124 Rock Haven Ln,Mt Lebanon,PA,15228
House for sale,159900,1015 Celeron Ave,Pittsburgh,PA,15216
House for sale,245000,130 41st,Lawrenceville,PA,15201
House for sale,69900,1231 Strahley Pl,Pittsburgh,PA,15220
For sale by owner,259900,5622 Phillips Ave,Pittsburgh,PA,15217
House for sale,324000,920 Summer Pl,Pittsburgh,PA,15243
House for sale,349000,7108 Penn Ave,Pittsburgh,PA,15208
House for sale,119900,218 Madeline St,Pittsburgh,PA,15210
House for sale,355900,1803 Fairlee St,Pittsburgh,PA,15212
House for sale,109900,1282 Justine St,Pittsburgh,PA,15204
House for sale,825000,5800 Wilkins Ave,Pittsburgh,PA,15217
House for sale,284999,1520 Buena Vista St,Pittsburgh,PA,15212
House for sale,439000,1226 Sheffield St,Pittsburgh,PA,15233
House for sale,205000,2904 Vinton St,Pittsburgh,PA,15204
House for sale,524900,5256 Forbes Ave,Pittsburgh,PA,15217
For sale by owner,59999,4020 Brighton Rd,Pittsburgh,PA,15212
House for sale,240000,585 Bigelow St,Pittsburgh,PA,15207
House for sale,370000,40 Timberline Ct,Pittsburgh,PA,15217
For sale by owner,305900,140 Southern Ave,Pittsburgh,PA,15211
House for sale,210000,311 Service Way,Pittsburgh,PA,15201
House for sale,199900,59 Shady Dr W,Mt Lebanon,PA,15228
House for sale,119900,1436 Woodbourne Ave,Pittsburgh,PA,15226
House for sale,164900,2155 Lucina Ave,Pittsburgh,PA,15210
Condo for sale,319900,1536 Colwell St APT 6,Pittsburgh,PA,15219
House for sale,2200000,5016 Castleman St,Pittsburgh,PA,15232
Apartment for sale,250000,519 Avery St,Pittsburgh,PA,15212
House for sale,219900,210 Arden Rd,Pittsburgh,PA,15216
House for sale,75000,1508 Belasco Ave,Pittsburgh,PA,15216
Condo for sale,465000,702 Copeland St # 15,Pittsburgh,PA,15232
House for sale,179000,3570 Brighton Rd,Pittsburgh,PA,15212
House for sale,995000,5876 Solway St,Pittsburgh,PA,15217
House for sale,299900,1617 Manhattan St,Pittsburgh,PA,15233
House for sale,140000,2907 Josephine St,Pittsburgh,PA,15203
House for sale,179900,3318 Delaware St,Pittsburgh,PA,15214
House for sale,218300,4510 Penn Ave,Pittsburgh,PA,15224
House for sale,949000,5830 Solway St,Pittsburgh,PA,15217
Townhouse for sale,358000,1428 Severn St,Pittsburgh,PA,15217
House for sale,39875,596 Calera St,Pittsburgh,PA,15207
House for sale,180000,1207 Morningside Ave,Pittsburgh,PA,15206
House for sale,139900,311 Ivory Ave,Pittsburgh,PA,15214
House for sale,174900,1265 Kirsopp Ave,Pittsburgh,PA,15220
House for sale,269900,520 54th St,Pittsburgh,PA,15201
For sale by owner,89999,3353 Mcneil Pl,Pittsburgh,PA,15219
House for sale,480000,223 44th,Lawrenceville,PA,15201
House for sale,189900,5527 Camelia St,Pittsburgh,PA,15201
House for sale,374999,704 Gypsy Ln,Mt Lebanon,PA,15228
House for sale,210000,21 Defoe St,Pittsburgh,PA,15214
House for sale,265000,459 Royce Ave,Pittsburgh,PA,15216
House for sale,79000,450 Frayne St,Pittsburgh,PA,15207
House for sale,220000,300 57th St,Pittsburgh,PA,15201
House for sale,284999,1520 Buena Vista St,Pittsburgh,PA,15212
House for sale,439000,1226 Sheffield St,Pittsburgh,PA,15233
House for sale,205000,2904 Vinton St,Pittsburgh,PA,15204
House for sale,524900,5256 Forbes Ave,Pittsburgh,PA,15217
For sale by owner,59999,4020 Brighton Rd,Pittsburgh,PA,15212
House for sale,240000,585 Bigelow St,Pittsburgh,PA,15207
House for sale,370000,40 Timberline Ct,Pittsburgh,PA,15217
For sale by owner,305900,140 Southern Ave,Pittsburgh,PA,15211
House for sale,210000,311 Service Way,Pittsburgh,PA,15201
House for sale,199900,59 Shady Dr W,Mt Lebanon,PA,15228
House for sale,119900,1436 Woodbourne Ave,Pittsburgh,PA,15226
House for sale,164900,2155 Lucina Ave,Pittsburgh,PA,15210
Condo for sale,319900,1536 Colwell St APT 6,Pittsburgh,PA,15219
House for sale,2200000,5016 Castleman St,Pittsburgh,PA,15232
Apartment for sale,250000,519 Avery St,Pittsburgh,PA,15212
House for sale,219900,210 Arden Rd,Pittsburgh,PA,15216
House for sale,75000,1508 Belasco Ave,Pittsburgh,PA,15216
Condo for sale,465000,702 Copeland St # 15,Pittsburgh,PA,15232
House for sale,179000,3570 Brighton Rd,Pittsburgh,PA,15212
House for sale,995000,5876 Solway St,Pittsburgh,PA,15217
House for sale,299900,1617 Manhattan St,Pittsburgh,PA,15233
House for sale,140000,2907 Josephine St,Pittsburgh,PA,15203
House for sale,179900,3318 Delaware St,Pittsburgh,PA,15214
House for sale,218300,4510 Penn Ave,Pittsburgh,PA,15224
House for sale,949000,5830 Solway St,Pittsburgh,PA,15217
Townhouse for sale,358000,1428 Severn St,Pittsburgh,PA,15217
House for sale,39875,596 Calera St,Pittsburgh,PA,15207
House for sale,180000,1207 Morningside Ave,Pittsburgh,PA,15206
House for sale,139900,311 Ivory Ave,Pittsburgh,PA,15214
House for sale,174900,1265 Kirsopp Ave,Pittsburgh,PA,15220
House for sale,269900,520 54th St,Pittsburgh,PA,15201
For sale by owner,89999,3353 Mcneil Pl,Pittsburgh,PA,15219
House for sale,480000,223 44th,Lawrenceville,PA,15201
House for sale,189900,5527 Camelia St,Pittsburgh,PA,15201
House for sale,374999,704 Gypsy Ln,Mt Lebanon,PA,15228
House for sale,210000,21 Defoe St,Pittsburgh,PA,15214
House for sale,265000,459 Royce Ave,Pittsburgh,PA,15216
House for sale,79000,450 Frayne St,Pittsburgh,PA,15207
House for sale,220000,300 57th St,Pittsburgh,PA,15201
House for sale,284999,1520 Buena Vista St,Pittsburgh,PA,15212
House for sale,439000,1226 Sheffield St,Pittsburgh,PA,15233
House for sale,205000,2904 Vinton St,Pittsburgh,PA,15204
House for sale,524900,5256 Forbes Ave,Pittsburgh,PA,15217
