Type Of House,Price,Number of rooms,Street,City,State,Zip
Apartment for rent,950,2,710 Shady Dr E,Pittsburgh,PA,15228
Apartment for rent,1250,3,25 N Meadowcroft Ave # 2,Pittsburgh,PA,15216
House for rent,3700,4,2840 Fernwald Rd,Pittsburgh,PA,15217
House for rent,2100,4,2111 Jane St,Pittsburgh,PA,15203
House for rent,2400,4,2830 Mary St,Pittsburgh,PA,15203
Apartment for rent,1100,2,2009 Wendover St # 1,Pittsburgh,PA,15217
Apartment for rent,700,2,Coleridge St,Pittsburgh,PA,15201
House for rent,1000,3,1208 Amanda Ave,Pittsburgh,PA,15210
House for rent,748,3,Fusion St,Pittsburgh,PA,15204
House for rent,1100,3,2420 Salisbury St,Pittsburgh,PA,15210
House for rent,1700,2,4223 Stanton Ave,Pittsburgh,PA,15201
Apartment for rent,800,1,W Sycamore St,Pittsburgh,PA,15211
Condo for rent,1650,3,3327 Parkview Ave # 1,Pittsburgh,PA,15213
Apartment for rent,800,1,1406 Potomac Ave,Pittsburgh,PA,15216
House for rent,1200,2,321 Sapphire Way,Pittsburgh,PA,15224
Apartment for rent,825,1,349 Kambach St FL 1ST,Pittsburgh,PA,15211
Apartment for rent,1200,2,404 Atwood St,Pittsburgh,PA,15213
Apartment for rent,950,1,726 Savannah Ave # 2,Pittsburgh,PA,15221
Townhouse for rent,950,3,4405 Mccaslin St,Pittsburgh,PA,15207
House for rent,1700,2,1223 Resaca Pl,Pittsburgh,PA,15212
House for rent,2400,4,2021 Larkins Way,Pittsburgh,PA,15203
House for rent,2400,4,2105 Larkins Way,Pittsburgh,PA,15203
House for rent,795,2,2157 Straubs Ln,Pittsburgh,PA,15212
Apartment for rent,900,2,55 Barry St # 2,Pittsburgh,PA,15203
House for rent,1700,3,6313 Phillips Ave,Pittsburgh,PA,15217
Apartment for rent,1399,1,5727 Elwood St # E5,Pittsburgh,PA,15232
Apartment for rent,1060,1,3510 Louisa St APT 11,Pittsburgh,PA,15213
Apartment for rent,2200,1,Manhattan St,Pittsburgh,PA,15233
Apartment for rent,750,2,179 Knox Ave,Pittsburgh,PA,15210
Apartment for rent,900,2,N Sheridan Ave,Pittsburgh,PA,15206
Townhouse for rent,895,2,220 Joliet Way,Pittsburgh,PA,15224
Apartment for rent,800,1,438 Wilbur St # 1,Pittsburgh,PA,15210
House for rent,1575,2,4222 Geneva St,Pittsburgh,PA,15201
Apartment for rent,1300,1,1607 Sarah St APT 3,Pittsburgh,PA,15203
Townhouse for rent,1150,2,453 Norton St FL 2,Pittsburgh,PA,15211
House for rent,1800,3,55 S 19th St,Pittsburgh,PA,15203
Apartment for rent,1495,2,1205 Lancaster Ave,Pittsburgh,PA,15218
Townhouse for rent,1600,3,1410 N Saint Clair St,Pittsburgh,PA,15206
House for rent,1600,5,219 N Graham St,Pittsburgh,PA,15206
Apartment for rent,700,1,1238 Arkansas Ave # 2F,Pittsburgh,PA,15216
Apartment for rent,940,1,319 Morewood Ave APT 16,Pittsburgh,PA,15213
House for rent,1099,2,65 Haberman Ave,Pittsburgh,PA,15211
House for rent,1100,3,2943 Zephyr Ave,Pittsburgh,PA,15204
Apartment for rent,1350,1,3703 Butler St APT 1,Pittsburgh,PA,15201
Apartment for rent,1350,2,2322 E Carson St APT 2A,Pittsburgh,PA,15203
Apartment for rent,800,1,2646 Broadway Ave # 1,Pittsburgh,PA,15216
Apartment for rent,950,2,2646 Broadway Ave # 2,Pittsburgh,PA,15216
Apartment for rent,1500,1,5511 Baum Blvd # 7,Pittsburgh,PA,15232
House for rent,1100,3,221 Joyce Ter,Pittsburgh,PA,15207
Apartment for rent,1200,2,1521 Dormont Ave,Pittsburgh,PA,15216
Apartment for rent,2400,3,125 S 12th St,Pittsburgh,PA,15203
Townhouse for rent,5000,8,351 Atwood St,Pittsburgh,PA,15213
Townhouse for rent,1860,3,3212 Kennett Sq,Pittsburgh,PA,15213
Apartment for rent,825,1,1532 Buena Vista St # 1,Pittsburgh,PA,15212
House for rent,1550,3,5 Kosciusko Way,Pittsburgh,PA,15203
House for rent,1800,3,3292 Dawson St,Pittsburgh,PA,15213
Apartment for rent,2800,4,15 Oakland Sq,Pittsburgh,PA,15213
House for rent,1195,3,130 W Mcintyre Ave,Pittsburgh,PA,15214
Apartment for rent,900,1,409 Kathleen St # 1,Mount Washington,PA,15211
Apartment for rent,865,1,3641 Liberty Ave APT 2,Pittsburgh,PA,15201
Apartment for rent,900,2,1806 Broadway Ave APT 4,Pittsburgh,PA,15216
Apartment for rent,885,1,3633 Liberty Ave APT 3,Pittsburgh,PA,15201
Apartment for rent,885,1,3421 Liberty Ave APT 1,Pittsburgh,PA,15201
Apartment for rent,895,1,5706 Walnut St APT 1,Pittsburgh,PA,15232
House for rent,875,3,226 1/2 Glen Caladh St,Pittsburgh,PA,15207
Apartment for rent,1650,2,4602 Penn Ave # 2,Pittsburgh,PA,15224
Apartment for rent,650,1,619 S Millvale Ave # 3,Pittsburgh,PA,15224
Apartment for rent,800,2,4350 Murray Ave # 1ST,Pittsburgh,PA,15217
Townhouse for rent,1050,2,2360 Eldridge St,Pittsburgh,PA,15217
Townhouse for rent,950,2,110 S 12th St,Pittsburgh,PA,15203
House for rent,650,2,2801 Fitzhugh Way,Pittsburgh,PA,15226
Apartment for rent,2395,2,3345 Penn Ave UNIT E,Pittsburgh,PA,15201
Townhouse for rent,1000,1,930 P J Mcardle Roadway,Pittsburgh,PA,15203
Apartment for rent,1000,1,661 College Ave # 1,Pittsburgh,PA,15232
Townhouse for rent,1000,2,2516 Josephine St,Pittsburgh,PA,15203
House for rent,900,3,1219 Courtright St,Pittsburgh,PA,15212
Townhouse for rent,1200,3,3938 Howley St,Pittsburgh,PA,15224
House for rent,3300,5,402 S Lang Ave,Pittsburgh,PA,15208
Apartment for rent,995,1,1201 Reddour St,Pittsburgh,PA,15212
House for rent,1000,3,Cedricton St,Pittsburgh,PA,15210
Townhouse for rent,1700,2,4821 Blackberry Way,Pittsburgh,PA,15201
Apartment for rent,995,2,Boggs Ave,Pittsburgh,PA,15211
Apartment for rent,650,2,236 E Warrington Ave # 1,Pittsburgh,PA,15210
Apartment for rent,825,3,Westmont Ave,Pittsburgh,PA,15210
Apartment for rent,875,1,77 Southern Ave # 1,Pittsburgh,PA,15211
Apartment for rent,1250,2,2202 Sarah St,Pittsburgh,PA,15203
House for rent,1900,4,1411 Page St,Pittsburgh,PA,15233
Apartment for rent,699,1,2611 Brownsville Rd,Pittsburgh,PA,15227
Apartment for rent,950,2,1126-1128 Arkansas Ave,Pittsburgh,PA,15216
Apartment for rent,1450,2,5266 Butler St # 2,Pittsburgh,PA,15201
Apartment for rent,1850,2,314 Ella St,Pittsburgh,PA,15224
Apartment for rent,695,1,1134 Illinois Ave APT 10,Pittsburgh,PA,15216
Apartment for rent,1175,2,236 Meyran Ave APT 1,Pittsburgh,PA,15213
House for rent,1000,2,4206 Bruce St,Pittsburgh,PA,15201
Apartment for rent,700,1,375 Meyran Ave APT 3,Pittsburgh,PA,15213
House for rent,1800,3,3621 Beechwood Blvd,Pittsburgh,PA,15217
Condo for rent,2600,5,3445 Parkview Ave # HOUSE,Pittsburgh,PA,15213
House for rent,3000,4,369 Meyran Ave,Pittsburgh,PA,15213
House for rent,1250,2,4028 Howley St,Pittsburgh,PA,15224
House for rent,750,2,326 Mathews Ave,Pittsburgh,PA,15210
Apartment for rent,1700,2,144 N Dithridge St,Pittsburgh,PA,15213
Apartment for rent,1750,2,345 S Highland Ave # 2,Pittsburgh,PA,15206
Apartment for rent,1800,3,420 Semple St # 2,Pittsburgh,PA,15213
Townhouse for rent,1800,3,103 S 13th St,Pittsburgh,PA,15203
Apartment for rent,1875,3,416 Oakland Ave APT 4,Pittsburgh,PA,15213
Apartment for rent,2100,4,3410 Juliet St # 1,Pittsburgh,PA,15213
Apartment for rent,2100,4,3408 Juliet St # 1,Pittsburgh,PA,15213
Apartment for rent,2100,4,3322 Juliet St # 1,Pittsburgh,PA,15213
Apartment for rent,2100,4,3410 Juliet St # 1,Pittsburgh,PA,15213
Apartment for rent,1200,3,613 Greenfield Ave # 2,Pittsburgh,PA,15207
Apartment for rent,1200,2,1617 Buena Vista St,Pittsburgh,PA,15212
House for rent,800,3,2917 Shadeland Ave,Pittsburgh,PA,15212
Apartment for rent,1100,1,1703 E Carson St # 3,Pittsburgh,PA,15203
Townhouse for rent,1300,3,Mount Lebanon Blvd,Pittsburgh,PA,15228
House for rent,950,3,111 Overbrook Blvd,Pittsburgh,PA,15210
House for rent,1100,2,Wills St,Pittsburgh,PA,15211
House for rent,1895,3,439 Sapphire Way,Pittsburgh,PA,15224
House for rent,1195,3,825 Gallion Ave,Pittsburgh,PA,15226
House for rent,4300,7,3614 Bates St,Pittsburgh,PA,15213
House for rent,3900,6,335 Meyran Ave,Pittsburgh,PA,15213
House for rent,5000,8,342 Meyran Ave,Pittsburgh,PA,15213
Townhouse for rent,1250,2,6359 Alderson St,Squirrel Hill,PA,15217
House for rent,1225,2,1600 Morningside Ave,Pittsburgh,PA,15206
Apartment for rent,690,2,93 Mount Lebanon Blvd APT 3,Pittsburgh,PA,15228
Apartment for rent,950,1,708 E Warrington Ave,Pittsburgh,PA,15210
House for rent,1600,3,S 16th St,Pittsburgh,PA,15203
Apartment for rent,1800,3,512 Semple St # 2,Pittsburgh,PA,15213
Apartment for rent,750,1,1424 Rutherford Ave # 1,Pittsburgh,PA,15216
Apartment for rent,1300,2,185 1/2 42nd St,Pittsburgh,PA,15201
Apartment for rent,1195,1,601 N Negley Ave APT 35,Pittsburgh,PA,15206
Apartment for rent,800,1,3821 Bates St # 2,Pittsburgh,PA,15213
Apartment for rent,1395,4,201 Edmond St,Pittsburgh,PA,15224
Apartment for rent,750,1,5680 Forward Ave APT 11,Pittsburgh,PA,15217
Apartment for rent,800,1,341 Meyran Ave # 1,Pittsburgh,PA,15213
House for rent,1195,3,1832 Plainview Ave,Pittsburgh,PA,15226
House for rent,1050,3,Anawanda Ave,Pittsburgh,PA,15228
House for rent,1600,2,1513 Sarah St,Pittsburgh,PA,15203
Apartment for rent,1875,3,416 Oakland Ave APT 7,Pittsburgh,PA,15213
Apartment for rent,1800,4,3731 Dawson St,Pittsburgh,PA,15213
House for rent,1295,3,4111 Windsor St,Pittsburgh,PA,15217
Apartment for rent,1215,1,700 College Ave APT 1,Pittsburgh,PA,15232
Apartment for rent,795,1,2819 Connecticut Ave FL 2ND,Pittsburgh,PA,15216
House for rent,2000,4,S 16th St,Pittsburgh,PA,15203
Apartment for rent,2025,3,3707 Dawson St,Pittsburgh,PA,15213
House for rent,1595,2,6330 Alderson St,Pittsburgh,PA,15217
House for rent,925,2,125 Tuscola St,Pittsburgh,PA,15211
Apartment for rent,1300,2,3994 Beechwood Blvd,Pittsburgh,PA,15217
House for rent,1950,3,1715 Mary St,Pittsburgh,PA,15203
Apartment for rent,1700,3,1310 Cochran Rd # 1310,Pittsburgh,PA,15243
Apartment for rent,1200,4,264 Melwood Ave APT 1R,Pittsburgh,PA,15213
House for rent,1900,3,264 S Euclid Ave,Pittsburgh,PA,15206
Apartment for rent,850,1,5620 Rippey St,Pittsburgh,PA,15206
Apartment for rent,850,2,196 Dell Avenue 1 # 3,Pittsburgh,PA,15216
House for rent,925,3,3156 Ashlyn St,Pittsburgh,PA,15204
House for rent,900,2,19665 Straubs Ln,Pittsburgh,PA,15212
Apartment for rent,825,2,4 Shady Drive W # FL 2ND,Pittsburgh,PA,15228
Apartment for rent,800,3,500 Southern Ave,Mount Washington,PA,15211
Apartment for rent,1000,2,519 S Braddock Ave,Pittsburgh,PA,15221
House for rent,1275,3,804 Tropical Ave,Pittsburgh,PA,15216
House for rent,1800,3,3349 1/2 Parkview Ave,Pittsburgh,PA,15213
House for rent,2000,4,130 S 24th St,Pittsburgh,PA,15203
Apartment for rent,1000,2,37 Saint Thomas St,Pittsburgh,PA,15203
Apartment for rent,1280,1,5520 5th Ave,Pittsburgh,PA,15232
Townhouse for rent,1150,2,1512 Hillsdale Ave,Pittsburgh,PA,15216
House for rent,2000,2,172 Cotton Way,Pittsburgh,PA,15201
Apartment for rent,3300,6,415 Semple St # 2,Pittsburgh,PA,15213
Apartment for rent,995,2,2520 Leticoe St # 1,Pittsburgh,PA,15203
House for rent,2000,4,139 Chesterfield Rd,Pittsburgh,PA,15213
House for rent,875,3,838 Gearing Ave,Pittsburgh,PA,15210
Apartment for rent,750,2,21 Ainsworth St # 1,Pittsburgh,PA,15220
House for rent,2400,4,2126 Sarah St,Pittsburgh,PA,15203
Apartment for rent,875,1,136 Oneida St APT 1,Pittsburgh,PA,15211
Apartment for rent,1225,1,5519 Baum Blvd APT 2,Pittsburgh,PA,15232
Apartment for rent,995,2,604 N Euclid Ave # 1,Pittsburgh,PA,15206
Apartment for rent,975,2,1229 Palo Alto St APT 1,Pittsburgh,PA,15212
Apartment for rent,850,1,1270 High St # 1300B,Pittsburgh,PA,15212
House for rent,895,2,5225 Natrona Way,Pittsburgh,PA,15201
House for rent,1250,3,1008 Bellaire Ave,Pittsburgh,PA,15226
House for rent,1495,2,515 Semple St,Pittsburgh,PA,15213
Apartment for rent,750,1,2126 E Carson St # 1,Pittsburgh,PA,15203
Apartment for rent,935,2,2619 Espy Ave APT 4,Pittsburgh,PA,15216
House for rent,1450,2,5603 Wickliff St,Pittsburgh,PA,15201
House for rent,850,1,Cedarville St,Pittsburgh,PA,15224
Apartment for rent,1200,2,215 S Aiken Ave APT 1,Pittsburgh,PA,15206
House for rent,3100,5,3228 Parkview Ave,Pittsburgh,PA,15213
Apartment for rent,750,1,2911 Voelkel Ave APT 2,Pittsburgh,PA,15216
House for rent,2100,4,360 Ophelia St,Pittsburgh,PA,15213
House for rent,1700,3,4056 Howley St,Pittsburgh,PA,15224
Apartment for rent,975,1,522 Edmond St # 2,Pittsburgh,PA,15224
Apartment for rent,1450,2,420 Oakland Ave,Pittsburgh,PA,15213
Townhouse for rent,3450,6,3313 Juliet St,Pittsburgh,PA,15213
Apartment for rent,995,1,610 Southern Ave # HOUSE,Mount Washington,PA,15211
