incident_id,case_number,incident_datetime,incident_type_primary,incident_description,address_1,city,state,zip,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
"744,621,176",16-01-0874-1,2016 Jan 08 05:00:00 PM,LARCENY-THEFT,Occur From Date: 01/08/2016 17:00<br>Occur To Date: 01/13/2016 16:00<br>16-8-6 THEFT OF LOST OR MISLAID PROPERTY - $.01 TO $1500.00<br>Case Status: Open Investigation,200 Block THE PRESERVE DR,ATHENS,GA,30606,33.9451974,-83.4479292,2016 Jan 14 06:40:05 AM,2016 Jan 21 09:01:58 AM,POINT (-83.4479292 33.9451974),17,Friday,Theft
"744,621,179",16-01-0865-1,2016 Jan 08 08:00:00 PM,ALL OTHER OFFENSES,Occur From Date: 01/08/2016 20:00<br>Occur To Date: 01/13/2016 14:25<br>16-11-39.1 HARASSING COMMUNICATIONS; VENUE; SEP OFFENSES; FREE SPEECH<br>Case Status: Open Investigation,100 Block STRICKLAND AVE,ATHENS,GA,30601,33.9680645,-83.3732236,2016 Jan 14 06:40:05 AM,2016 Jan 21 09:13:31 AM,POINT (-83.3732236 33.9680645),20,Friday,Other
"744,620,612",16-01-0896-1,2016 Jan 09 08:00:00 PM,LARCENY-THEFT,Occur From Date: 01/09/2016 20:00<br>Occur To Date: 01/13/2016 21:15<br>16-8-2 THEFT BY TAKING - ALL OTHER - $.01 TO $1500.00<br>Case Status: Open Investigation,300 Block BARNETT SHOALS RD,ATHENS,GA,30605,33.9433673,-83.3533174,2016 Jan 14 06:39:35 AM,2016 Jan 21 09:05:46 AM,POINT (-83.3533174 33.9433673),20,Saturday,Theft
"744,620,926",16-01-0875-1,2016 Jan 12 07:15:00 PM,LARCENY-THEFT,Occur From Date: 01/12/2016 19:15<br>Occur To Date: 01/13/2016 07:30<br>16-8-18 ENTERING AUTO (THEFT - ITEMS FROM VEH)<br>Case Status: Open Investigation,900 Block E BROAD ST,ATHENS,GA,30601,33.9586187,-83.368422,2016 Jan 14 06:39:44 AM,2016 Jan 21 09:01:18 AM,POINT (-83.368422 33.9586187),19,Tuesday,Theft
"744,620,967",16-01-0857-1,2016 Jan 12 08:00:00 PM,LARCENY-THEFT,Occur From Date: 01/12/2016 20:00<br>Occur To Date: 01/13/2016 08:00<br>16-8-2 THEFT BY TAKING - ALL OTHER - $.01 TO $1500.00<br>Case Status: Open Investigation,COLLEGE AVE & E HANCOCK AVE,ATHENS,GA,30601,33.9601847,-83.3761454,2016 Jan 14 06:39:49 AM,2016 Jan 21 09:01:18 AM,POINT (-83.3761454 33.9601847),20,Tuesday,Theft
"744,620,969",16-01-0856-1,2016 Jan 12 01:40:00 PM,LARCENY-THEFT,Occur From Date: 01/12/2016 13:40<br>Occur To Date: 01/12/2016 13:45<br>16-8-6 THEFT OF LOST OR MISLAID PROPERTY - $.01 TO $1500.00<br>Case Status: Open Investigation,2200 Block LEXINGTON RD,ATHENS,GA,30605,33.94448,-83.339581,2016 Jan 14 06:39:49 AM,2016 Jan 21 09:01:17 AM,POINT (-83.339581 33.94448),13,Tuesday,Theft
"744,620,988",16-01-0868-1,2016 Jan 12 09:00:00 PM,LARCENY-THEFT,Occur From Date: 01/12/2016 21:00<br>Occur To Date: 01/13/2016 13:00<br>16-8-2 THEFT BY TAKING - ALL OTHER - $.01 TO $1500.00<br>Case Status: Open Investigation,200 Block N FINLEY ST,ATHENS,GA,30601,33.9574036,-83.383063,2016 Jan 14 06:39:57 AM,2016 Jan 21 09:08:10 AM,POINT (-83.383063 33.9574036),21,Tuesday,Theft
"744,620,544",16-01-0866-1,2016 Jan 13 01:37:00 PM,ALL OTHER OFFENSES,"Occur From Date: 01/13/2016 13:37<br>Occur To Date: 01/13/2016 13:37<br>3-17-3 CURFEW VIOLATION DAYTIME - STUDENT, CHILD<br>Case Status: Cleared by Arrest",100 Block HIGHLAND PARK DR,ATHENS,GA,30605,33.9172006,-83.3247881,2016 Jan 14 06:39:28 AM,2016 Jan 21 09:00:42 AM,POINT (-83.3247881 33.9172006),13,Wednesday,Other
"744,620,545",16-01-0863-1,2016 Jan 13 02:00:00 PM,ALL OTHER OFFENSES,Occur From Date: 01/13/2016 14:00<br>Occur To Date: 01/13/2016 14:00<br>16-10-25 GIVING FALSE INFORMATION<br>Case Status: Cleared by Arrest,LEXINGTON RD & WINTERVILLE RD,ATHENS,GA,30605,33.9465361,-83.351791,2016 Jan 14 06:39:28 AM,2016 Jan 21 09:01:18 AM,POINT (-83.351791 33.9465361),14,Wednesday,Other
"744,620,610",16-01-0880-1,2016 Jan 13 05:31:00 PM,OTHER ASSAULTS,Occur From Date: 01/13/2016 17:31<br>Occur To Date: 01/13/2016 17:31<br>16-5-23 SIMPLE BATTERY<br>Case Status: Cleared by Arrest,300 Block N HARRIS ST,ATHENS,GA,30601,33.9574656,-83.3877118,2016 Jan 14 06:39:35 AM,2016 Jan 21 09:01:58 AM,POINT (-83.3877118 33.9574656),17,Wednesday,Assault
"744,620,970",16-01-0872-1,2016 Jan 13 02:30:00 PM,OTHER ASSAULTS,Occur From Date: 01/13/2016 14:30<br>Occur To Date: 01/13/2016 15:00<br>16-5-20 SIMPLE ASSAULT<br>Case Status: Open Investigation,200 Block CHINA ST,ATHENS,GA,30605,33.9509077,-83.364407,2016 Jan 14 06:39:49 AM,2016 Jan 21 09:13:31 AM,POINT (-83.364407 33.9509077),14,Wednesday,Assault
"744,620,971",16-01-0851-2,2016 Jan 13 11:35:00 AM,DRUG ABUSE VIOLATIONS,Occur From Date: 01/13/2016 11:35<br>Occur To Date: 01/13/2016 11:35<br>16-13-2 (B) MARIJUANA - POSS OF 1 OZ OR LESS (M)<br>Case Status: Cleared by Arrest,100 Block TALLASSEE RD,ATHENS,GA,30606,33.965247,-83.4290446,2016 Jan 14 06:39:49 AM,2016 Jan 21 09:08:09 AM,POINT (-83.4290446 33.965247),11,Wednesday,Drugs
"744,620,972",16-01-0843-1,2016 Jan 13 09:06:00 AM,ALL OTHER OFFENSES,"Occur From Date: 01/13/2016 09:06<br>Occur To Date: 01/13/2016 09:15<br>16-5-95 COURT ORDER, VIOLATING (FV, PROTECTIVE, RESTRAINING)<br>Case Status: Cleared by Arrest",100 Block TRINITY PL,ATHENS,GA,30607,33.9767401,-83.4145384,2016 Jan 14 06:39:49 AM,2016 Jan 21 09:08:09 AM,POINT (-83.4145384 33.9767401),9,Wednesday,Other
"744,620,974",16-01-0851-1,2016 Jan 13 11:35:00 AM,MOTOR VEHICLE THEFT,"Occur From Date: 01/13/2016 11:35<br>Occur To Date: 01/13/2016 11:35<br>16-8-2 (MV) THEFT BY TAKING - TRUCK, VAN, BUS<br>Case Status: Cleared by Arrest",100 Block TALLASSEE RD,ATHENS,GA,30606,33.965247,-83.4290446,2016 Jan 14 06:39:49 AM,2016 Jan 21 09:08:09 AM,POINT (-83.4290446 33.965247),11,Wednesday,Theft of Vehicle
"744,620,981",16-01-0860-1,2016 Jan 13 12:45:00 PM,ALL OTHER OFFENSES,Occur From Date: 01/13/2016 12:45<br>Occur To Date: 01/13/2016 13:07<br>16-11-39.1 HARASSING COMMUNICATIONS; VENUE; SEP OFFENSES; FREE SPEECH<br>Case Status: Exceptionally Cleared,200 Block ROCKSPRINGS CT,ATHENS,GA,30606,33.9491748,-83.3922092,2016 Jan 14 06:39:57 AM,2016 Jan 21 09:08:10 AM,POINT (-83.3922092 33.9491748),12,Wednesday,Other
"744,620,987",16-01-0858-1,2016 Jan 13 12:37:00 PM,DRUG ABUSE VIOLATIONS,Occur From Date: 01/13/2016 12:37<br>Occur To Date: 01/13/2016 12:37<br>16-13-2 (B) MARIJUANA - POSS OF 1 OZ OR LESS (M)<br>Case Status: Cleared by Arrest,COLLEGE STATION RD & SEGREST CIR,ATHENS,GA,30605,33.9220595,-83.3515368,2016 Jan 14 06:39:57 AM,2016 Jan 21 09:08:09 AM,POINT (-83.3515368 33.9220595),12,Wednesday,Drugs
"744,620,990",16-01-0847-1,2016 Jan 13 09:00:00 AM,ALL OTHER OFFENSES,Occur From Date: 01/13/2016 09:00<br>Occur To Date: 01/13/2016 10:00<br>16-7-21 CRIMINAL TRESPASS - DAMAGED PROPERTY<br>Case Status: Open Investigation,700 Block BARNETT SHOALS RD,ATHENS,GA,30605,33.9360478,-83.3507327,2016 Jan 14 06:39:57 AM,2016 Jan 21 09:00:41 AM,POINT (-83.3507327 33.9360478),9,Wednesday,Other
"744,620,992",16-01-0886-1,2016 Jan 13 05:45:00 PM,OTHER ASSAULTS,Occur From Date: 01/13/2016 17:45<br>Occur To Date: 01/13/2016 17:55<br>16-5-23 SIMPLE BATTERY<br>Case Status: Exceptionally Cleared,1700 Block E BROAD ST,ATHENS,GA,30601,33.9510029,-83.3541196,2016 Jan 14 06:39:57 AM,2016 Jan 21 09:05:46 AM,POINT (-83.3541196 33.9510029),17,Wednesday,Assault
"744,821,592",16-01-0947-1,2016 Jan 11 03:00:00 PM,FRAUD,Occur From Date: 01/11/2016 15:00<br>Occur To Date: 01/13/2016 16:00<br>16-9-121 IDENTITY FRAUD<br>Case Status: Open Investigation,1900 Block COMMERCE RD,ATHENS,GA,30607,33.9993578,-83.383301,2016 Jan 15 06:39:46 AM,2016 Jan 21 09:08:13 AM,POINT (-83.383301 33.9993578),15,Monday,Theft
