incident_id,case_number,incident_datetime,incident_type,incident_description,address_1,City,state,Latitude,Longitude,created_date,updated_date,location,hour_of_day,day_of_week,parent_incident_type
"901,039,575",19-0140737,2019 Jan 07 06:00:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block LANGMEYER AV,BUFFALO,NY,42.92484358,-78.81698876,2019 Jan 15 01:01:56 AM,2019 Sep 23 11:34:24 PM,POINT (-78.81698876093195 42.92484357986257),18,Monday,Theft
"900,809,944",19-0120240,2019 Jan 08 12:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block PARK ST,BUFFALO,NY,42.94706449,-78.85617862,2019 Jan 12 03:55:13 PM,2019 Sep 23 11:34:59 PM,POINT (-78.85617862158735 42.9470644878762),0,Tuesday,Theft
"901,476,393",19-0160417,2019 Jan 04 12:00:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,400 Block GOLD ST,BUFFALO,NY,42.89630329,-78.80519991,2019 Jan 16 10:01:41 PM,2019 Jan 24 04:16:23 AM,POINT (-78.80519990642684 42.89630328831633),12,Friday,Theft
"902,552,636",19-0220443,2019 Jan 04 12:00:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1000 Block GENESEE ST,BUFFALO,NY,42.90148918,-78.8442582,2019 Jan 23 02:54:22 PM,2019 Jan 30 05:00:46 AM,POINT (-78.8442581986752 42.901489184581514),12,Friday,Theft
"902,969,362",19-0250243,2015 Jan 25 12:00:00 PM,SEXUAL ABUSE,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,100 Block CULVER RD,BUFFALO,NY,42.83980951,-78.8174511,2019 Jan 25 05:52:26 PM,2019 Feb 02 04:56:40 AM,POINT (-78.81745109743173 42.83980951202153),12,Sunday,Other Sexual Offense
"902,969,363",19-0250244,2015 Jan 25 12:00:00 PM,SEXUAL ABUSE,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block VANDERBILT ST,BUFFALO,NY,42.89218619,-78.80585686,2019 Jan 25 05:52:26 PM,2019 Feb 02 04:56:40 AM,POINT (-78.805856858726 42.89218618798844),12,Sunday,Other Sexual Offense
"902,969,364",19-0250245,2018 Jan 25 12:00:00 PM,SEXUAL ABUSE,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,200 Block HEMPSTEAD AV,BUFFALO,NY,42.93049223,-78.8050612,2019 Jan 25 05:52:26 PM,2019 Feb 02 04:56:40 AM,POINT (-78.80506119711333 42.9304922315033),12,Thursday,Other Sexual Offense
"902,972,631",19-0250450,2018 Jan 25 12:00:00 PM,SEXUAL ABUSE,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,300 Block 14TH ST,BUFFALO,NY,42.91089528,-78.89065989,2019 Jan 25 06:10:03 PM,2019 Feb 02 04:56:43 AM,POINT (-78.8906598853704 42.91089527708419),12,Thursday,Other Sexual Offense
"901,019,637",19-0120374,2019 Jan 09 12:00:00 PM,SEXUAL ABUSE,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block WAKEFIELD AV,BUFFALO,NY,42.93424285,-78.83565826,2019 Jan 14 07:17:07 PM,2019 Jan 20 04:48:26 AM,POINT (-78.83565825907772 42.9342428518739),12,Wednesday,Other Sexual Offense
"854,556,050",18-1380673,2018 Jan 01 12:01:00 AM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,200 Block JOHNSON ST,BUFFALO,NY,42.89807833,-78.84793857,2018 May 18 09:07:22 PM,2019 Sep 23 11:33:31 PM,POINT (-78.84793857469873 42.89807832590173),0,Monday,Breaking & Entering
"854,559,667",18-1380628,2018 Apr 27 03:23:00 PM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,100 Block E NORTH ST,BUFFALO,NY,42.90245391,-78.87647238,2018 May 18 10:16:37 PM,2019 Sep 23 11:33:31 PM,POINT (-78.87647237973833 42.90245390613836),15,Friday,Breaking & Entering
"854,542,293",18-1380299,2018 Apr 28 12:21:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,200 Block JERSEY ST,BUFFALO,NY,42.90138451,-78.88673108,2018 May 18 03:47:59 PM,2019 Sep 23 11:34:05 PM,POINT (-78.88673107559583 42.90138450511117),12,Saturday,Theft
"854,542,298",18-1380353,2018 Mar 01 12:00:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,300 Block WALDEN AV,BUFFALO,NY,42.90326103,-78.82455864,2018 May 18 03:47:59 PM,2018 May 26 02:59:07 AM,POINT (-78.82455864379337 42.90326103136154),12,Thursday,Theft
"894,581,032",18-3510529,2018 Nov 20 12:00:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,200 Block HUDSON ST,BUFFALO,NY,42.89289048,-78.87146384,2018 Dec 18 05:25:25 AM,2018 Dec 24 09:29:22 PM,POINT (-78.87146383534977 42.89289047689623),12,Tuesday,Theft
"864,877,458",18-2050391,2018 Jun 25 12:00:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block MORRIS AV,BUFFALO,NY,42.94077761,-78.83366823,2018 Jul 25 03:56:54 PM,2018 Jul 31 09:46:10 AM,POINT (-78.83366822733664 42.94077761335888),12,Monday,Theft
"855,628,713",18-1460758,2018 May 07 12:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block GRIMES ST,BUFFALO,NY,42.89225421,-78.82638161,2018 May 26 10:47:17 PM,2019 Sep 23 11:34:40 PM,POINT (-78.8263816074384 42.89225421071414),0,Monday,Theft
"855,839,075",18-1490478,2018 May 16 11:34:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,600 Block GOODYEAR AV,BUFFALO,NY,42.91363703,-78.82258328,2018 May 29 05:59:22 PM,2018 Jun 06 03:19:44 AM,POINT (-78.8225832779591 42.91363702961639),11,Wednesday,Theft
"861,498,464",18-1800611,2018 Jan 01 12:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,800 Block GENESEE ST,BUFFALO,NY,42.89937026,-78.84693642,2018 Jun 29 10:43:48 PM,2019 Sep 23 11:33:03 PM,POINT (-78.84693641669882 42.899370261711844),0,Monday,Theft
