IncidentID,IncidentType,CaseNumber,IncidentDate,Address,Zip
23962,Residential Burglary,2019-386229,"9/18/2019, 1:30 AM",Settlers Road,53717
23965,Information,2019-390264,"9/20/2019, 10:15 AM",118 W. Johnson St,53703
23952,Residential Burglary,2019-384474,"9/17/2019, 1:39 AM",Howard Place,53703
23954,Traffic incident/Road Rage,2019-384529,"9/17/2019, 3:18 AM",West Beltline Highway,53713
23957,Traffic incident/Road Rage,2019-385721,"9/17/2019, 3:15 PM",E. Washington Ave.,53703
23940,Theft,2019-376976,"9/12/2019, 9:15 AM",Knutson Drive,53704
23941,Robbery,2019-378443,"9/13/2019, 6:13 AM",4402 East Towne Blvd.,53704
23942,Suspicious Person,2019-377076,"9/12/2019, 10:18 AM",1423 Northport Dr.,53704
23943,Traffic Incident,2019-377198,"9/12/2019, 11:38 AM",6400 block Schroeder Rd.,53711
23947,Robbery,2019-382946,"9/16/2019, 4:36 AM",1799 Thierer Rd.,53704
23949,Battery,2019-380922,"9/14/2019, 3:30 PM",100 State Street,53703
23930,Non-Residential Burglary,2019-373288,"9/10/2019, 4:00 AM",1917 Lake Point Dr.,53713
23933,Battery,2019-374253,"9/10/2019, 2:05 PM",E. Main St.,53703
23936,Traffic Incident,2019-371030,"9/8/2019, 3:19 PM",E. Washington Ave.,53703
23938,Residential Burglary,2019-378063,"9/12/2019, 11:19 PM",100 block N. Mills St.,53715
23939,Theft,2019-377249,"9/12/2019, 12:08 PM",1130 Williamson St.,53703
23920,Missing Adult,2019-369429,"9/7/2019, 2:01 PM",Chapel Hill Drive,53711
23921,Robbery,2019-368075,"9/6/2019, 5:17 PM",4821 Annamark Dr.,53704
23922,Weapons Violation,2019-367566,"9/6/2019, 12:10 PM",Maple Grove Dr.,53719
23924,Robbery,2019-372670,"9/9/2019, 4:29 PM",1010 N. Sherman Ave.,53704
23927,Traffic Incident,2019-355647,"8/29/2019, 11:07 PM",State St.,53703
23928,Robbery,2019-373521,"9/10/2019, 6:49 AM",1202 North Sherman Ave.,53704
23910,Information,2019-356552,"12/25/2018, 7:00 AM",Oriole Lane,53704
23911,Residential Burglary,2019-363342,"9/4/2019, 2:25 AM",Bashford Ave.,53704
23914,Exposure,2019-364734,"9/4/2019, 5:30 PM",3700 Milwaukee St.,53714
23917,Traffic Incident,2019-367011,"9/6/2019, 5:55 AM",High Street,53715
23907,Theft,2019-361128,"9/2/2019, 2:26 PM",4275 Lien Rd.,53704
23892,Robbery,2019-347835,"8/25/2019, 1:07 AM",4902 Verona Rd,53711
23893,Death Investigation,2019-351503,"8/27/2019, 12:34 PM",4512 E. Washington Ave.,53704
23894,Robbery,2019-351802,"8/27/2019, 3:41 PM",2801 N Sherman Ave,53704
23897,Robbery,2019-353106,"8/28/2019, 11:18 AM",4602 East Towne Blvd.,53704
23880,Theft,2019-340756,"8/20/2019, 8:45 PM",620 University Ave.,53715
23883,Battery,2019-340854,"8/20/2019, 10:00 PM",825 Hughes Place,53713
23886,Weapons Violation,2019-342501,"8/21/2019, 9:10 PM",4830 Hayes Rd.,53704
23871,Traffic Incident,2019-336945,"8/18/2019, 2:22 PM",700 block S. Gammon Rd.,53719
23872,Drug Investigation,2019-281253,"8/19/2019, 4:10 AM",4830 Hayes Rd.,53704
23875,Traffic Incident,2019-338594,"8/19/2019, 1:26 PM",E. Washington Ave.,53703
23876,Weapons Violation,2019-338817,"8/19/2019, 3:57 PM",International Lane,53704
23860,Residential Burglary,2019-329558,"8/13/2019, 10:15 PM",Summer Ridge Dr.,53704
23864,Weapons Violation,2019-332919,"8/16/2019, 3:51 AM",West Beltline Highway,53713
23865,Drug Investigation,2019-269395,"8/12/2019, 2:45 PM",211 S. Carroll St.,53703
23868,Exposure,2019-334898,"8/17/2019, 7:30 AM",701 E. Johnson St.,53703
23853,Arrested Person,2019-325510,"8/11/2019, 8:53 AM",McKenna Blvd.,53719
23854,Traffic Incident,2019-324858,"8/10/2019, 7:15 PM",East Washington Ave.,53703
23855,Robbery,2019-324995,"8/10/2019, 9:05 PM",E. Main St.,53703
23856,Theft,2019-324444,"8/10/2019, 8:00 AM",1901 Aberg Ave.,53704
23857,Battery,2019-324282,"8/10/2019, 12:26 PM",325 W. Olin Ave.,53715
23842,Fraud,2019-315996,"8/5/2019, 7:00 AM",4020 Mineral Point Rd.,53705
23844,Weapons Violation,2019-317827,"8/6/2019, 11:37 AM",Packers Ave.,53704
23846,Intoxicated/Impaired Driver,2019-320059,"8/7/2019, 9:09 PM",1400 block E. Washington Ave.,53703
23847,Weapons Violation,2019-319825,"8/7/2019, 5:06 PM",S. Gammon Rd.,53717
23830,Drug Investigation,2019-259183,"7/30/2019, 8:45 AM",S. Stoughton Rd.,53714
23831,Drug Investigation,2019-309736,"8/1/2019, 8:48 AM",John Nolen Dr.,53703
23839,Intoxicated/Impaired Driver,2019-312155,"8/2/2019, 5:45 PM",4301 East Towne Blvd.,53704
23820,Traffic Incident,2019-304737,"7/29/2019, 12:30 PM",4002 School Rd.,53704
23821,Traffic Incident,2019-305004,"7/29/2019, 12:20 PM",West Beltline Highway,53713
23822,Residential Burglary,2019-304858,"7/29/2019, 11:04 AM",Sachtjen St.,53704
23824,Injured Person,2019-304276,"7/29/2019, 7:00 AM",N. Baldwin St.,53703
23827,Robbery,2019-00309044,"7/31/2019, 7:52 PM",3801 E Washington Ave,53704
23828,Weapons Violation,2019-00309133,"7/31/2019, 9:44 PM",600 block Williamson St,53703
23811,Residential Burglary,2019-271465,"7/9/2019, 10:16 AM",238 Randolph Dr.,53717
23812,Residential Burglary,2019-299481,"7/25/2019, 6:00 PM",Jeffy Trail,53719
23814,Weapons Violation,2019-300702,"7/26/2019, 4:51 PM",100 block State Street,53703
23815,Non-Residential Burglary,2019-301618,"7/27/2019, 9:08 AM",811 Williamson St.,53703
23816,Check Person,2019-302540,"7/27/2019, 8:05 PM",S. Segoe Rd.,53705
23818,Robbery,2019-305248,"7/29/2019, 2:39 PM",East Buckeye Rd,53716
23801,Robbery,2019-299401,"7/25/2019, 9:20 PM",Mendota Court,53703
23804,Non-Residential Burglary,2019-299469,"7/25/2019, 10:45 PM",4400 Sycamore Ave.,53714
23806,Non-Residential Burglary,2019-299488,"7/25/2019, 11:05 PM",4718 Hammersley Rd.,53711
23807,Weapons Violation,2019-299596,"7/26/2019, 3:28 AM",516 Grand Canyon Dr.,53719
23790,Residential Burglary,2019-293272,"7/22/2019, 11:40 AM",N. Sherman Ave.,53704
